時間,設備,值
2024-10-26 11:23:18,SA-08/TEMP,33.13
2024-10-26 11:23:20,SA-08/TEMP,32.66
2024-10-26 11:23:28,SA-08/TEMP,33.13
2024-10-26 11:23:30,SA-08/TEMP,32.66
2024-10-26 11:23:32,SA-08/TEMP,33.6
2024-10-26 11:23:34,SA-08/TEMP,33.13
2024-10-26 11:23:36,SA-08/TEMP,32.66
2024-10-26 11:23:38,SA-08/TEMP,33.13
2024-10-26 11:23:44,SA-08/TEMP,32.66
2024-10-26 11:23:46,SA-08/TEMP,33.13
2024-10-26 11:23:48,SA-08/TEMP,32.66
2024-10-26 11:23:50,SA-08/TEMP,33.13
2024-10-26 11:23:52,SA-08/TEMP,33.6
2024-10-26 11:23:54,SA-08/TEMP,32.66
2024-10-26 11:23:56,SA-08/TEMP,33.6
2024-10-26 11:23:58,SA-08/TEMP,33.13
2024-10-26 11:24:02,SA-08/TEMP,33.6
2024-10-26 11:24:04,SA-08/TEMP,33.13
2024-10-26 11:24:08,SA-08/TEMP,32.66
2024-10-26 11:24:10,SA-08/TEMP,33.13
2024-10-26 11:24:23,SA-08/TEMP,32.66
2024-10-26 11:24:24,SA-08/TEMP,33.6
2024-10-26 11:24:26,SA-08/TEMP,33.13
2024-10-26 11:24:30,SA-08/TEMP,32.66
2024-10-26 11:24:32,SA-08/TEMP,33.13
2024-10-26 11:24:34,SA-08/TEMP,33.6
2024-10-26 11:24:36,SA-08/TEMP,33.13
2024-10-26 11:24:38,SA-08/TEMP,33.6
2024-10-26 11:24:40,SA-08/TEMP,33.13
2024-10-26 11:24:42,SA-08/TEMP,33.6
2024-10-26 11:24:46,SA-08/TEMP,33.13
2024-10-26 11:24:54,SA-08/TEMP,32.66
2024-10-26 11:24:56,SA-08/TEMP,33.6
2024-10-26 11:25:06,SA-08/TEMP,33.13
2024-10-26 11:25:12,SA-08/TEMP,33.6
2024-10-26 11:25:16,SA-08/TEMP,33.13
2024-10-26 11:25:20,SA-08/TEMP,32.66
2024-10-26 11:25:22,SA-08/TEMP,33.13
2024-10-26 11:25:28,SA-08/TEMP,33.6
2024-10-26 11:25:32,SA-08/TEMP,33.13
2024-10-26 11:25:46,SA-08/TEMP,32.66
2024-10-26 11:25:48,SA-08/TEMP,33.13
2024-10-26 11:25:56,SA-08/TEMP,33.6
2024-10-26 11:25:58,SA-08/TEMP,33.13
2024-10-26 11:26:02,SA-08/TEMP,32.66
2024-10-26 11:26:04,SA-08/TEMP,33.13
2024-10-26 11:26:06,SA-08/TEMP,33.6
2024-10-26 11:26:10,SA-08/TEMP,32.66
2024-10-26 11:26:12,SA-08/TEMP,33.13
2024-10-26 11:26:14,SA-08/TEMP,33.6
2024-10-26 11:26:16,SA-08/TEMP,33.13
2024-10-26 11:26:26,SA-08/TEMP,33.6
2024-10-26 11:26:29,SA-08/TEMP,33.13
2024-10-26 11:26:32,SA-08/TEMP,33.6
2024-10-26 11:26:36,SA-08/TEMP,33.13
2024-10-26 11:26:44,SA-08/TEMP,33.6
2024-10-26 11:26:48,SA-08/TEMP,33.13
2024-10-26 11:26:50,SA-08/TEMP,33.6
2024-10-26 11:26:52,SA-08/TEMP,33.13
2024-10-26 11:26:54,SA-08/TEMP,33.6
2024-10-26 11:27:02,SA-08/TEMP,33.13
2024-10-26 11:27:04,SA-08/TEMP,33.6
2024-10-26 11:27:06,SA-08/TEMP,33.13
2024-10-26 11:27:23,SA-08/TEMP,33.6
2024-10-26 11:27:26,SA-08/TEMP,33.13
2024-10-26 11:27:40,SA-08/TEMP,32.66
2024-10-26 11:27:43,SA-08/TEMP,33.6
2024-10-26 11:27:52,SA-08/TEMP,33.13
2024-10-26 11:28:20,SA-08/TEMP,33.6
2024-10-26 11:28:22,SA-08/TEMP,33.13
2024-10-26 11:28:32,SA-08/TEMP,33.6
2024-10-26 11:28:34,SA-08/TEMP,33.13
2024-10-26 11:28:42,SA-08/TEMP,33.6
2024-10-26 11:28:44,SA-08/TEMP,33.13
2024-10-26 11:28:48,SA-08/TEMP,33.6
2024-10-26 11:28:54,SA-08/TEMP,33.13
2024-10-26 11:29:00,SA-08/TEMP,33.6
2024-10-26 11:29:04,SA-08/TEMP,33.13
2024-10-26 11:29:06,SA-08/TEMP,33.6
2024-10-26 11:29:08,SA-08/TEMP,33.13
2024-10-26 11:29:18,SA-08/TEMP,33.6
2024-10-26 11:29:22,SA-08/TEMP,33.13
2024-10-26 11:29:24,SA-08/TEMP,32.66
2024-10-26 11:29:26,SA-08/TEMP,33.13
2024-10-26 11:29:30,SA-08/TEMP,33.6
2024-10-26 11:29:34,SA-08/TEMP,33.13
2024-10-26 11:29:36,SA-08/TEMP,33.6
2024-10-26 11:29:40,SA-08/TEMP,33.13
2024-10-26 11:29:46,SA-08/TEMP,32.66
2024-10-26 11:29:48,SA-08/TEMP,33.6
2024-10-26 11:29:50,SA-08/TEMP,33.13
2024-10-26 11:29:52,SA-08/TEMP,33.6
2024-10-26 11:29:54,SA-08/TEMP,33.13
2024-10-26 11:30:00,SA-08/TEMP,33.6
2024-10-26 11:30:02,SA-08/TEMP,33.13
2024-10-26 11:30:05,SA-08/TEMP,33.6
2024-10-26 11:30:06,SA-08/TEMP,33.13
2024-10-26 11:30:10,SA-08/TEMP,33.6
2024-10-26 11:30:12,SA-08/TEMP,33.13
2024-10-26 11:30:14,SA-08/TEMP,33.6
2024-10-26 11:30:20,SA-08/TEMP,32.66
2024-10-26 11:30:22,SA-08/TEMP,33.13
2024-10-26 11:30:26,SA-08/TEMP,33.6
2024-10-26 11:30:30,SA-08/TEMP,33.13
2024-10-26 11:30:36,SA-08/TEMP,32.66
2024-10-26 11:30:41,SA-08/TEMP,33.13
2024-10-26 11:30:48,SA-08/TEMP,33.6
2024-10-26 11:30:50,SA-08/TEMP,33.13
2024-10-26 11:30:56,SA-08/TEMP,32.66
2024-10-26 11:30:58,SA-08/TEMP,33.13
2024-10-26 11:31:02,SA-08/TEMP,32.66
2024-10-26 11:31:04,SA-08/TEMP,33.13
2024-10-26 11:31:06,SA-08/TEMP,33.6
2024-10-26 11:31:08,SA-08/TEMP,33.13
2024-10-26 11:31:18,SA-08/TEMP,33.6
2024-10-26 11:31:20,SA-08/TEMP,32.66
2024-10-26 11:31:22,SA-08/TEMP,33.6
2024-10-26 11:31:24,SA-08/TEMP,33.13
2024-10-26 11:31:26,SA-08/TEMP,32.66
2024-10-26 11:31:28,SA-08/TEMP,33.13
2024-10-26 11:31:30,SA-08/TEMP,33.6
2024-10-26 11:31:32,SA-08/TEMP,33.13
2024-10-26 11:31:36,SA-08/TEMP,33.6
2024-10-26 11:31:42,SA-08/TEMP,33.13
2024-10-26 11:31:44,SA-08/TEMP,32.66
2024-10-26 11:31:46,SA-08/TEMP,33.13
2024-10-26 11:31:48,SA-08/TEMP,33.6
2024-10-26 11:31:50,SA-08/TEMP,33.13
2024-10-26 11:31:56,SA-08/TEMP,32.66
2024-10-26 11:31:58,SA-08/TEMP,33.13
2024-10-26 11:32:00,SA-08/TEMP,32.66
2024-10-26 11:32:02,SA-08/TEMP,33.13
2024-10-26 11:32:04,SA-08/TEMP,32.66
2024-10-26 11:32:06,SA-08/TEMP,33.13
2024-10-26 11:32:08,SA-08/TEMP,32.66
2024-10-26 11:32:10,SA-08/TEMP,33.13
2024-10-26 11:32:22,SA-08/TEMP,33.6
2024-10-26 11:32:24,SA-08/TEMP,33.13
2024-10-26 11:50:56,SA-08/TEMP,33.6
2024-10-26 11:51:00,SA-08/TEMP,33.13
2024-10-26 11:51:06,SA-08/TEMP,33.6
2024-10-26 11:51:10,SA-08/TEMP,33.13
2024-10-26 11:51:12,SA-08/TEMP,33.6
2024-10-26 11:51:16,SA-08/TEMP,33.13
2024-10-26 11:51:18,SA-08/TEMP,33.6
2024-10-26 11:51:20,SA-08/TEMP,33.13
2024-10-26 11:51:22,SA-08/TEMP,33.6
2024-10-26 11:51:28,SA-08/TEMP,33.13
2024-10-26 11:51:29,SA-08/LED_LEVEL,3
2024-10-26 11:51:30,SA-08/TEMP,33.6
2024-10-26 11:51:32,SA-08/TEMP,33.13
2024-10-26 11:51:40,SA-08/TEMP,33.6
2024-10-26 11:51:42,SA-08/TEMP,33.13
2024-10-26 11:51:44,SA-08/TEMP,33.6
2024-10-26 11:51:57,SA-08/LED_LEVEL,3
2024-10-26 11:51:58,SA-08/TEMP,33.13
2024-10-26 11:51:58,SA-08/LIGHT_LEVEL,1
2024-10-26 11:52:06,SA-08/TEMP,33.6
2024-10-26 11:52:08,SA-08/TEMP,33.13
2024-10-26 11:52:13,SA-08/LED_LEVEL,4
2024-10-26 11:52:15,SA-08/LED_LEVEL,5
2024-10-26 11:52:16,SA-08/TEMP,33.6
2024-10-26 11:52:16,SA-08/LED_LEVEL,6
2024-10-26 11:52:18,SA-08/TEMP,33.13
2024-10-26 11:52:20,SA-08/TEMP,33.6
2024-10-26 11:52:22,SA-08/TEMP,33.13
2024-10-26 11:52:24,SA-08/TEMP,33.6
2024-10-26 11:52:26,SA-08/TEMP,33.13
2024-10-26 11:52:29,SA-08/LED_LEVEL,5
2024-10-26 11:52:30,SA-08/TEMP,33.6
2024-10-26 11:52:30,SA-08/LED_LEVEL,4
2024-10-26 11:52:32,SA-08/LED_LEVEL,3
2024-10-26 11:52:36,SA-08/TEMP,33.13
2024-10-26 11:52:38,SA-08/TEMP,33.6
2024-10-26 11:52:42,SA-08/TEMP,33.13
2024-10-26 11:52:44,SA-08/TEMP,33.6
2024-10-26 11:52:46,SA-08/TEMP,32.66
2024-10-26 11:52:50,SA-08/TEMP,33.13
2024-10-26 11:52:56,SA-08/LED_LEVEL,2
2024-10-26 11:52:57,SA-08/LED_LEVEL,1
2024-10-26 11:52:59,SA-08/LED_LEVEL,2
2024-10-26 11:53:00,SA-08/LED_LEVEL,3
2024-10-26 11:53:00,SA-08/LED_LEVEL,4
2024-10-26 11:53:01,SA-08/LED_LEVEL,5
2024-10-26 11:53:10,SA-08/TEMP,33.6
2024-10-26 11:53:14,SA-08/TEMP,33.13
2024-10-26 11:53:16,SA-08/TEMP,33.6
2024-10-26 11:53:20,SA-08/TEMP,33.13
2024-10-26 11:53:24,SA-08/TEMP,32.66
2024-10-26 11:53:26,SA-08/TEMP,33.6
2024-10-26 11:53:28,SA-08/TEMP,33.13
2024-10-26 11:53:30,SA-08/TEMP,33.6
2024-10-26 11:53:32,SA-08/TEMP,33.13
2024-10-26 11:53:38,SA-08/TEMP,33.6
2024-10-26 11:53:42,SA-08/TEMP,33.13
2024-10-26 11:53:54,SA-08/TEMP,33.6
2024-10-26 12:09:44,SA-08/LED_LEVEL,4
2024-10-26 12:09:44,SA-08/LED_LEVEL,3
2024-10-26 12:09:46,SA-08/LED_LEVEL,2
2024-10-26 12:10:10,SA-08/LED_LEVEL,3
2024-10-26 12:10:11,SA-08/LED_LEVEL,4
2024-10-26 12:11:11,SA-08/LED_LEVEL,3
2024-10-26 12:11:12,SA-08/LED_LEVEL,4
2024-10-26 12:11:13,SA-08/LED_LEVEL,3
2024-10-26 12:11:14,SA-08/LED_LEVEL,4
2024-10-26 12:14:45,SA-08/LED_LEVEL,3
2024-10-26 12:14:46,SA-08/LED_LEVEL,4
2024-10-26 12:16:31,SA-08/LED_LEVEL,3
2024-10-26 12:16:32,SA-08/LED_LEVEL,4
2024-10-26 12:21:53,SA-08/LED_LEVEL,3
2024-10-26 12:21:54,SA-08/LED_LEVEL,4
2024-10-26 12:25:03,SA-08/LED_LEVEL,3
2024-10-26 12:25:04,SA-08/LED_LEVEL,4
2024-10-26 12:28:43,SA-08/LED_LEVEL,3
2024-10-26 12:28:44,SA-08/LED_LEVEL,4
2024-10-26 12:29:35,SA-08/LED_LEVEL,3
2024-10-26 12:29:36,SA-08/LED_LEVEL,4
2024-10-26 12:31:25,SA-08/LED_LEVEL,3
2024-10-26 12:31:26,SA-08/LED_LEVEL,4
2024-10-26 12:32:59,SA-08/LED_LEVEL,3
2024-10-26 12:33:00,SA-08/LED_LEVEL,4
2024-10-26 12:35:29,SA-08/LED_LEVEL,3
2024-10-26 12:35:30,SA-08/LED_LEVEL,4
2024-10-26 12:37:35,SA-08/LED_LEVEL,3
2024-10-26 12:37:36,SA-08/LED_LEVEL,4
2024-10-26 12:39:08,SA-08/LED_LEVEL,3
2024-10-26 12:39:08,SA-08/LED_LEVEL,4
2024-10-26 12:40:17,SA-08/LED_LEVEL,3
2024-10-26 12:40:18,SA-08/LED_LEVEL,4
2024-10-26 12:40:45,SA-08/LED_LEVEL,3
2024-10-26 12:40:46,SA-08/LED_LEVEL,4
2024-10-26 12:41:47,SA-08/LED_LEVEL,3
2024-10-26 12:41:48,SA-08/LED_LEVEL,4
2024-10-26 12:42:09,SA-08/LED_LEVEL,3
2024-10-26 12:42:10,SA-08/LED_LEVEL,4
2024-10-26 12:42:23,SA-08/LED_LEVEL,3
2024-10-26 12:42:24,SA-08/LED_LEVEL,4
2024-10-26 12:42:33,SA-08/LED_LEVEL,3
2024-10-26 12:42:34,SA-08/LED_LEVEL,4
2024-10-26 12:42:45,SA-08/LED_LEVEL,3
2024-10-26 12:42:46,SA-08/LED_LEVEL,4
2024-10-26 12:43:15,SA-08/LED_LEVEL,3
2024-10-26 12:43:16,SA-08/LED_LEVEL,4
2024-10-26 12:44:47,SA-08/LED_LEVEL,3
2024-10-26 12:44:48,SA-08/LED_LEVEL,4
2024-10-26 12:45:23,SA-08/LED_LEVEL,3
2024-10-26 12:45:24,SA-08/LED_LEVEL,4
2024-10-26 12:45:55,SA-08/LED_LEVEL,3
2024-10-26 12:45:56,SA-08/LED_LEVEL,4
2024-10-26 12:47:31,SA-08/LED_LEVEL,3
2024-10-26 12:47:32,SA-08/LED_LEVEL,4
2024-10-26 12:47:53,SA-08/LED_LEVEL,3
2024-10-26 12:47:54,SA-08/LED_LEVEL,4
2024-10-26 12:48:07,SA-08/LED_LEVEL,3
2024-10-26 12:48:08,SA-08/LED_LEVEL,4
2024-10-26 12:48:47,SA-08/LED_LEVEL,3
2024-10-26 12:48:48,SA-08/LED_LEVEL,4
2024-10-26 12:48:59,SA-08/LED_LEVEL,3
2024-10-26 12:49:00,SA-08/LED_LEVEL,4
2024-10-26 12:50:39,SA-08/LED_LEVEL,3
2024-10-26 12:50:40,SA-08/LED_LEVEL,4
2024-10-26 12:54:15,SA-08/LED_LEVEL,3
2024-10-26 12:54:16,SA-08/LED_LEVEL,4
2024-10-26 12:55:53,SA-08/LED_LEVEL,3
2024-10-26 12:55:54,SA-08/LED_LEVEL,4
2024-10-26 12:56:05,SA-08/LED_LEVEL,3
2024-10-26 12:56:06,SA-08/LED_LEVEL,4
2024-10-26 12:56:09,SA-08/LED_LEVEL,3
2024-10-26 12:56:10,SA-08/LED_LEVEL,4
2024-10-26 12:56:19,SA-08/LED_LEVEL,3
2024-10-26 12:56:20,SA-08/LED_LEVEL,4
2024-10-26 12:57:41,SA-08/LED_LEVEL,3
2024-10-26 12:57:42,SA-08/LED_LEVEL,4
2024-10-26 13:01:25,SA-08/LED_LEVEL,3
2024-10-26 13:01:26,SA-08/LED_LEVEL,4
2024-10-26 13:01:41,SA-08/LED_LEVEL,3
2024-10-26 13:01:42,SA-08/LED_LEVEL,4
2024-10-26 13:05:17,SA-08/LED_LEVEL,3
2024-10-26 13:05:18,SA-08/LED_LEVEL,4
2024-10-26 13:05:37,SA-08/LED_LEVEL,3
2024-10-26 13:05:38,SA-08/LED_LEVEL,4
2024-10-26 13:07:07,SA-08/LED_LEVEL,3
2024-10-26 13:07:08,SA-08/LED_LEVEL,4
2024-10-26 13:07:43,SA-08/LED_LEVEL,3
2024-10-26 13:07:44,SA-08/LED_LEVEL,4
2024-10-26 13:09:45,SA-08/LED_LEVEL,3
2024-10-26 13:09:46,SA-08/LED_LEVEL,4
2024-10-26 13:10:57,SA-08/LED_LEVEL,3
2024-10-26 13:10:58,SA-08/LED_LEVEL,4
2024-10-26 13:11:05,SA-08/LED_LEVEL,3
2024-10-26 13:11:06,SA-08/LED_LEVEL,4
2024-10-26 13:13:55,SA-08/LED_LEVEL,3
2024-10-26 13:13:56,SA-08/LED_LEVEL,4
2024-10-26 13:15:24,SA-08/LED_LEVEL,3
2024-10-26 13:15:24,SA-08/LED_LEVEL,4
2024-10-26 13:15:47,SA-08/LED_LEVEL,3
2024-10-26 13:15:48,SA-08/LED_LEVEL,4
2024-10-26 13:16:59,SA-08/LED_LEVEL,3
2024-10-26 13:17:00,SA-08/LED_LEVEL,4
2024-10-26 13:18:29,SA-08/LED_LEVEL,3
2024-10-26 13:18:30,SA-08/LED_LEVEL,4
2024-10-26 13:18:47,SA-08/LED_LEVEL,3
2024-10-26 13:18:48,SA-08/LED_LEVEL,4
2024-10-26 13:19:17,SA-08/LED_LEVEL,3
2024-10-26 13:19:18,SA-08/LED_LEVEL,4
2024-10-26 13:21:41,SA-08/LED_LEVEL,3
2024-10-26 13:21:42,SA-08/LED_LEVEL,4
2024-10-26 13:22:19,SA-08/LED_LEVEL,3
2024-10-26 13:22:20,SA-08/LED_LEVEL,4
2024-10-26 13:26:21,SA-08/LED_LEVEL,3
2024-10-26 13:26:22,SA-08/LED_LEVEL,4
2024-10-26 13:28:03,SA-08/LED_LEVEL,3
2024-10-26 13:28:04,SA-08/LED_LEVEL,4
2024-10-26 13:31:03,SA-08/TEMP,32.19
2024-10-26 13:31:15,SA-08/TEMP,32.66
2024-10-26 13:31:17,SA-08/TEMP,32.19
2024-10-26 13:31:18,SA-08/LED_LEVEL,3
2024-10-26 13:31:18,SA-08/LED_LEVEL,2
2024-10-26 13:31:19,SA-08/LED_LEVEL,1
2024-10-26 13:31:21,SA-08/LED_LEVEL,0
2024-10-26 13:31:23,SA-08/LED_LEVEL,1
2024-10-26 13:31:25,SA-08/LED_LEVEL,2
2024-10-26 13:31:26,SA-08/LED_LEVEL,3
2024-10-26 13:31:26,SA-08/LED_LEVEL,4
2024-10-26 13:31:39,SA-08/TEMP,32.66
2024-10-26 13:31:41,SA-08/TEMP,32.19
2024-10-26 13:31:41,SA-08/LED_LEVEL,3
2024-10-26 13:31:42,SA-08/LED_LEVEL,2
2024-10-26 13:31:57,SA-08/TEMP,32.66
2024-10-26 13:32:03,SA-08/TEMP,32.19
2024-10-26 13:32:08,SA-08/LED_LEVEL,1
2024-10-26 13:32:09,SA-08/TEMP,32.66
2024-10-26 13:32:09,SA-08/LED_LEVEL,0
2024-10-26 13:32:12,SA-08/LED_LEVEL,1
2024-10-26 13:32:13,SA-08/TEMP,32.19
2024-10-26 13:32:14,SA-08/LED_LEVEL,2
2024-10-26 13:32:15,SA-08/LED_LEVEL,3
2024-10-26 13:32:16,SA-08/LED_LEVEL,4
2024-10-26 13:32:17,SA-08/LED_LEVEL,5
2024-10-26 13:32:17,SA-08/TEMP,32.66
2024-10-26 13:32:18,SA-08/LED_LEVEL,6
2024-10-26 13:32:19,SA-08/LED_LEVEL,5
2024-10-26 13:32:19,SA-08/LED_LEVEL,4
2024-10-26 13:32:20,SA-08/LED_LEVEL,3
2024-10-26 13:32:21,SA-08/LED_LEVEL,2
2024-10-26 13:32:21,SA-08/TEMP,32.19
2024-10-26 13:32:22,SA-08/LED_LEVEL,1
2024-10-26 13:32:22,SA-08/LED_LEVEL,0
2024-10-26 13:32:23,SA-08/TEMP,32.66
2024-10-26 13:32:27,SA-08/TEMP,32.19
2024-10-26 13:32:31,SA-08/TEMP,32.66
2024-10-26 13:32:33,SA-08/TEMP,32.19
2024-10-26 13:32:37,SA-08/TEMP,32.66
2024-10-26 13:32:39,SA-08/TEMP,32.19
2024-10-26 13:32:41,SA-08/TEMP,32.66
2024-10-26 13:33:24,SA-08/TEMP,32.19
2024-10-26 13:33:32,SA-08/LED_LEVEL,1
2024-10-26 13:33:34,SA-08/LED_LEVEL,2
2024-10-26 13:33:35,SA-08/LED_LEVEL,3
2024-10-26 13:33:36,SA-08/LED_LEVEL,4
2024-10-26 13:34:23,SA-08/LED_LEVEL,3
2024-10-26 13:34:25,SA-08/LED_LEVEL,2
2024-10-26 13:34:27,SA-08/LED_LEVEL,3
2024-10-26 13:34:27,SA-08/LED_LEVEL,5
2024-10-26 13:34:28,SA-08/TEMP,32.66
2024-10-26 13:34:29,SA-08/LED_LEVEL,3
2024-10-26 13:34:30,SA-08/TEMP,32.19
2024-10-26 13:34:34,SA-08/LED_LEVEL,4
2024-10-26 13:34:52,SA-08/TEMP,32.66
2024-10-26 13:34:54,SA-08/TEMP,32.19
2024-10-26 13:34:56,SA-08/LIGHT_LEVEL,0
2024-10-26 13:34:58,SA-08/LIGHT_LEVEL,1
2024-10-26 13:35:18,SA-08/TEMP,32.66
2024-10-26 13:35:20,SA-08/TEMP,32.19
2024-10-26 13:35:36,SA-08/LED_LEVEL,5
2024-10-26 13:35:36,SA-08/LED_LEVEL,6
2024-10-26 13:35:37,SA-08/LED_LEVEL,7
2024-10-26 13:35:38,SA-08/LED_LEVEL,5
2024-10-26 13:35:39,SA-08/LED_LEVEL,4
2024-10-26 13:35:40,SA-08/TEMP,32.66
2024-10-26 13:35:42,SA-08/TEMP,32.19
2024-10-26 13:35:44,SA-08/TEMP,32.66
2024-10-26 13:35:44,SA-08/LED_LEVEL,3
2024-10-26 13:35:44,SA-08/LED_LEVEL,4
2024-10-26 13:35:46,SA-08/TEMP,32.19
2024-10-26 13:35:52,SA-08/TEMP,32.66
2024-10-26 13:35:54,SA-08/TEMP,32.19
2024-10-26 13:36:18,SA-08/LIGHT_LEVEL,0
2024-10-26 13:36:20,SA-08/TEMP,32.66
2024-10-26 13:36:22,SA-08/TEMP,32.19
2024-10-26 13:36:22,SA-08/LIGHT_LEVEL,1
2024-10-26 13:36:24,SA-08/LED_LEVEL,5
2024-10-26 13:36:25,SA-08/LED_LEVEL,6
2024-10-26 13:36:27,SA-08/LED_LEVEL,5
2024-10-26 13:36:28,SA-08/LED_LEVEL,4
2024-10-26 13:36:28,SA-08/LED_LEVEL,3
2024-10-26 13:36:38,SA-08/TEMP,32.66
2024-10-26 13:36:42,SA-08/TEMP,32.19
2024-10-26 13:36:57,SA-08/TEMP,32.66
2024-10-26 13:37:02,SA-08/TEMP,32.19
2024-10-26 13:37:08,SA-08/TEMP,32.66
2024-10-26 13:37:12,SA-08/TEMP,32.19
2024-10-26 13:37:22,SA-08/TEMP,32.66
2024-10-26 13:37:24,SA-08/TEMP,32.19
2024-10-26 13:37:54,SA-08/TEMP,32.66
2024-10-26 13:37:56,SA-08/TEMP,32.19
2024-10-26 13:37:58,SA-08/TEMP,32.66
2024-10-26 13:38:36,SA-08/TEMP,32.19
2024-10-26 13:38:37,SA-08/TEMP,32.66
2024-10-26 13:38:39,SA-08/TEMP,32.19
2024-10-26 13:38:43,SA-08/TEMP,32.66
2024-10-26 13:38:53,SA-08/TEMP,32.19
2024-10-26 13:38:54,SA-08/LED_LEVEL,2
2024-10-26 13:38:55,SA-08/TEMP,32.66
2024-10-26 13:38:55,SA-08/LED_LEVEL,4
2024-10-26 13:38:56,SA-08/LED_LEVEL,5
2024-10-26 13:38:57,SA-08/TEMP,32.19
2024-10-26 13:38:59,SA-08/TEMP,32.66
2024-10-26 13:39:01,SA-08/TEMP,32.19
2024-10-26 13:39:06,SA-08/TEMP,32.66
2024-10-26 13:39:07,SA-08/TEMP,32.19
2024-10-26 13:39:09,SA-08/TEMP,32.66
2024-10-26 13:39:12,SA-08/TEMP,32.19
2024-10-26 13:39:13,SA-08/TEMP,32.66
2024-10-26 13:39:17,SA-08/TEMP,32.19
2024-10-26 13:39:17,SA-08/TEMP,32.66
2024-10-26 13:39:19,SA-08/TEMP,32.19
2024-10-26 13:39:21,SA-08/TEMP,32.66
2024-10-26 13:40:02,SA-08/LED_LEVEL,6
2024-10-26 13:40:02,SA-08/LED_LEVEL,7
2024-10-26 13:40:03,SA-08/LED_LEVEL,8
2024-10-26 13:40:03,SA-08/LED_LEVEL,9
2024-10-26 13:40:04,SA-08/LED_LEVEL,10
2024-10-26 13:40:06,SA-08/LED_LEVEL,7
2024-10-26 13:40:07,SA-08/LED_LEVEL,5
2024-10-26 13:40:07,SA-08/LED_LEVEL,4
2024-10-26 13:40:09,SA-08/LED_LEVEL,3
2024-10-26 13:40:09,SA-08/LED_LEVEL,2
2024-10-26 13:40:10,SA-08/LED_LEVEL,3
2024-10-26 13:43:01,SA-08/LED_LEVEL,1
2024-10-26 13:43:01,SA-08/LED_LEVEL,0
2024-10-26 13:43:03,SA-08/LED_LEVEL,2
2024-10-26 13:43:03,SA-08/LED_LEVEL,4
2024-10-26 13:43:04,SA-08/LED_LEVEL,2
2024-10-26 13:43:05,SA-08/LED_LEVEL,1
2024-10-26 13:43:12,SA-08/LED_LEVEL,0
2024-10-26 13:43:13,SA-08/LED_LEVEL,1
2024-10-26 13:43:14,SA-08/LED_LEVEL,3
2024-10-26 13:43:16,SA-08/LED_LEVEL,5
2024-10-26 13:43:16,SA-08/LED_LEVEL,6
2024-10-26 13:43:16,SA-08/LED_LEVEL,4
2024-10-26 13:43:16,SA-08/LED_LEVEL,1
2024-10-26 13:43:17,SA-08/LED_LEVEL,0
2024-10-26 13:44:42,SA-08/LED_LEVEL,1
2024-10-26 13:44:44,SA-08/LED_LEVEL,2
2024-10-26 13:44:45,SA-08/LED_LEVEL,3
2024-10-26 13:46:03,SA-08/LED_LEVEL,4
2024-10-26 13:46:04,SA-08/LED_LEVEL,5
2024-10-26 13:46:06,SA-08/LED_LEVEL,6
2024-10-26 13:50:28,SA-08/LED_LEVEL,7
2024-10-26 13:50:29,SA-08/LED_LEVEL,6
2024-10-26 13:50:33,SA-08/LED_LEVEL,5
2024-10-26 13:50:33,SA-08/LED_LEVEL,4
